GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework-project-kadarkutir,gui,BoardController.SelectionPhase,28,0,3,0,6,0,4,0,2,0
homework-project-kadarkutir,gui,Main,7,0,0,0,2,0,2,0,2,0
homework-project-kadarkutir,gui,BoardApplication,29,0,0,0,9,0,2,0,2,0
homework-project-kadarkutir,gui,StarterController,65,0,0,0,12,0,2,0,2,0
homework-project-kadarkutir,gui,BoardController,579,0,36,0,134,0,44,0,25,0
homework-project-kadarkutir,board,Piece,12,33,0,0,3,9,1,5,1,5
homework-project-kadarkutir,board,PieceType,0,15,0,0,0,3,0,1,0,1
homework-project-kadarkutir,board,Position,16,76,0,0,4,8,4,10,4,10
homework-project-kadarkutir,board,Direction,0,114,0,6,0,19,0,8,0,5
homework-project-kadarkutir,board,Player,18,18,0,0,8,7,5,2,5,2
homework-project-kadarkutir,board,Board,499,485,100,50,82,71,68,36,10,19
